"MATERIAL","INSTALLED","NOM_DIA_MM","LENGTH","condition_overall_score_label","condition_CCTV_score","condition_CCTV_date","condition_CCTV_source","condition_CCTV_app_availability","condition_instability_score","condition_corrosivity_score","condition_age_score","SHAPE_Length"
"CONC",1964,2100,109.14,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",1,1,2,109.136858866154
"CONC",1964,1350,106.95,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,106.953254455452
"CONC",1977,2550,100.01,"2","None","None","None","no",1,3,2,100.006948283694
"CONC",1964,2100,88.93,"3","3","2009","te puna wai","no",1,3,2,88.9306998193963
"CONC",1964,2100,82.21,"2","None","None","None","no",1,3,2,82.213721561244
"CONC",1964,1600,80.22,"2","2","2001","te puna wai","no",1,1,2,80.2156152547451
"BRICK",1911,2362,75.71,"3","2","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,4,75.7062267917306
"CONC",1964,2100,70.36,"1","None","None","None","no",1,1,1,70.3557455975185
"BRICK",1911,2362,69.12,"3","2","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,4,69.1179648608638
"CONC",1961,1350,67.82,"2","None","None","None","no",1,1,3,67.8217535344464
"CONC",1964,1350,59.13,"2","2","2016","te puna wai","no",1,3,2,59.1265855628227
"CONC",1977,2550,58.58,"2","None","None","None","no",1,3,2,58.5822021197975
"CONC",1961,1350,55.83,"4","4","2016","te puna wai","yes",1,1,3,55.8268702462121
"CONC",1964,1600,55.37,"3","3","2009","te puna wai","no",1,1,2,55.3667635131001
"CONC",1961,1350,51.65,"3","None","None","None","no",1,3,3,51.6514960985425
"CONC",1964,2100,49.2,"3","3","2009","te puna wai","no",1,1,2,49.1960833319353
"VC",1911,2362,48.94,"3","2","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,4,48.9365684266147
"CONC",2012,1290,48.31,"2","2","2017","CCTV Footage Review Log South_Latest.xls","no",1,3,1,48.3079585697091
"CONC",1977,2550,47.9,"2","None","None","None","no",1,3,2,47.8967247282778
"CONC",1973,1350,44.36,"2","2","2008","CCTV Footage Review Log South_Latest.xls","no",1,1,2,44.3646150660652
"CONC",1964,1350,41.62,"2","2","2016","te puna wai","no",1,3,2,41.6151316974031
"CONC",2010,1650,40.56,"1","None","None","None","no",1,1,1,40.5610577276878
"CONC",1973,1350,36.61,"2","2","2008","CCTV Footage Review Log South_Latest.xls","no",1,1,2,36.6088362349883
"CONC",1964,1200,33.69,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,33.6928130306899
"CONC",1964,1200,30.3,"3","3","2016","te puna wai","no",1,1,2,30.3014564978523
"CONC",1964,1350,30,"2","2","2016","te puna wai","no",1,3,2,30.0020991579173
"CONC",1964,1200,29.99,"3","3","2016","te puna wai","no",1,3,2,30.3689194823696
"CONC",2012,1200,29.08,"1","None","None","None","no",1,3,1,29.0802068942813
"CONC",1964,1350,28.94,"2","2","2016","te puna wai","no",1,3,2,28.9393106901911
"CONC",2010,2100,25.82,"1","None","None","None","no",1,1,1,25.8199146345302
"CONC",2012,1200,24.37,"1","None","None","None","no",1,1,1,24.368869757856
"CONC",2012,1200,24.12,"1","None","None","None","no",1,3,1,24.1190225411855
"BRICK",1911,1370,20.9,"3","None","None","None","no",1,1,4,20.8989965444984
"CONC",2012,1200,19.62,"1","None","None","None","no",1,3,1,19.6150797249345
"CONC",1998,1600,16.67,"2","2","2016","te puna wai","no",1,3,1,16.6701531847673
"CONC",2016,2100,15.9,"1","None","None","None","no",1,1,1,15.8986235921829
"CONC",1964,1350,14.99,"2","None","None","None","no",1,3,2,14.9918557481619
"CONC",1961,1350,14.04,"3","3","2016","te puna wai","yes",1,1,3,14.0352364673482
"CONC",1964,1600,13.28,"2","None","None","None","no",1,3,2,13.2789527051204
"CONC",1964,1350,12.54,"3","3","2016","te puna wai","no",1,3,2,12.5437453304919
"CONC",1960,1220,9.32,"2","None","None","None","no",1,1,3,9.31891294187212
"BRICK",1911,2550,6.46,"3","None","None","None","no",1,1,4,6.45675417722762
"CONC",1964,1540,6.37,"3","3","2009","te puna wai","no",1,1,1,6.36987710525748
"CONC",1964,1600,6.35,"2","2","2010","te puna wai","no",1,1,2,6.35003742397176
"CONC",1964,2100,5,"3","3","2009","te puna wai","no",1,1,2,5.00080993384259
"CONC",2010,1200,4.39,"1","None","None","None","no",1,1,1,4.39216023094159
"CONC",1964,1200,4.02,"3","3","2016","te puna wai","no",1,3,2,4.01578911900548
"CONC",1914,1800,3.69,"3","2","2017","CCTV Footage Review Log South_Latest.xls","no",1,1,5,3.6884006747269
"CONC",1964,2550,227.75,"3","3","2009","te puna wai","no",1,3,2,227.753892251748
"CONC",1964,2550,122.74,"4","4","2009","te puna wai","no",1,3,2,122.736823786035
"CONC",1964,2100,75.88,"3","3","2009","te puna wai","no",5,1,2,75.8829447010582
"CONC",1964,2550,115.25,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",1,3,2,115.246835515227
"CONC",1964,2550,298.84,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",5,1,2,298.838414103928
"CONC",1964,2550,254,"2","2","2010","CCTV Footage Review Log South_Latest.xls","no",5,1,2,254.004227674065
"CONC",1964,2550,8.9,"2","2","2010","CCTV Footage Review Log South_Latest.xls","no",5,1,2,8.90318196460904
"CONC",1964,2550,336.4,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",5,1,2,336.397647159479
"CONC",1964,2550,304.14,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",5,1,2,304.143195876303
"CONC",1964,2550,365.68,"2","2","2009","te puna wai","no",1,3,2,365.681485737202
"CONC",1964,2550,252.07,"3","3","2009","te puna wai","no",1,3,2,252.067043312352
"CONC",1964,2550,330.32,"3","3","2009","te puna wai","no",1,3,2,330.322245991587
"CONC",1964,2550,148.63,"3","3","2009","te puna wai","no",1,3,2,148.629577794699
"CONC",1964,2550,444.54,"3","3","2009","te puna wai","no",1,3,2,444.536695948184
"CONC",1964,2550,262.28,"3","3","2009","te puna wai","no",1,3,2,262.283019735859
"CONC",1946,750,28.98,"3","3","2012","te puna wai","no",1,1,3,28.9831679932348
"CONC",1964,2100,870.35,"3","3","2009","te puna wai","no",1,1,2,870.350276399075
"CONC",1964,2100,208.86,"3","3","2010","te puna wai","no",1,3,2,208.86022765345
"CONC",1964,2100,200.86,"3","3","2010","te puna wai","no",1,1,2,200.859008745779
"CONC",1964,2100,254.76,"3","3","2013","te puna wai","no",1,1,2,254.758855593192
"CONC",2012,1050,160.06,"2","None","None","None","no",5,3,1,160.059735537627
"CONC",1964,2300,233.51,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",5,3,2,233.511259588689
"CONC",1964,2100,235.91,"4","4","2010","te puna wai","no",1,1,2,235.910896743662
"CONC",1961,1350,154.69,"3","3","2016","te puna wai","yes",1,3,3,154.690249144098
"CONC",1964,2100,379.73,"2","2","2009","te puna wai","no",1,1,2,379.734310077926
"CONC",1964,2100,1111.64,"2","2","2009","te puna wai","no",1,1,2,1111.6427202148
"CONC",1964,2100,378.74,"3","3","2009","te puna wai","no",1,3,2,378.743911755825
"CONC",1964,2300,207.97,"2","2","2010","CCTV Footage Review Log South_Latest.xls","no",1,3,2,207.970777751953
"CONC",1964,2300,114.46,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",1,3,2,114.462997095472
"CONC",1964,2300,245.43,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",1,3,2,245.427531633679
"CONC",1964,2300,281.94,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",1,3,2,281.941774245944
"CONC",1964,2300,154.5,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",1,3,2,154.501207227629
"CONC",1964,2300,181.85,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",1,3,2,181.847916008462
"CONC",2010,3700,2957.75,"1","None","None","None","no",1,1,1,2957.7527250225
"CONC",2014,1050,194.49,"2","None","None","None","no",5,3,1,194.494400449252
"CONC",1959,750,109.29,"3","2","2016","te puna wai","no",5,3,3,109.292566200854
"BRICK",1911,2100,716.84,"3","2","2013","CCTV Footage Review Log South_Latest.xls","no",5,1,4,716.839661710827
"BRICK",1911,2100,105.13,"3","2","2013","CCTV Footage Review Log South_Latest.xls","no",5,1,4,105.12871871057
"CONC",1964,1800,298.57,"3","3","2016","te puna wai","no",3,3,2,298.567254933833
"CONC",1964,1549,154.67,"4","4","2008","te puna wai","no",3,3,1,154.667641114654
"CONC",1964,1549,305.39,"4","4","2008","te puna wai","no",3,3,1,305.390187195324
"CONC",1961,1350,182.83,"3","None","None","None","no",1,3,3,182.827891529927
"CONC",1964,2100,22.5,"3","3","2008","te puna wai","no",1,3,2,22.5019015897769
"PE",2012,782,39.18,"2","2","2017","CCTV Footage Review Log South_Latest.xls","no",1,3,1,39.1752811551684
"BRICK",1911,2300,785.1,"3","3","2014","te puna wai","no",1,1,4,785.104253265571
"CONC",1964,1200,468.02,"3","3","2016","te puna wai","no",5,3,2,468.019629079626
"CONC",1964,1200,87.03,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",1,1,2,87.0269640954043
"CONC",1946,675,10.94,"2","2","2013","te puna wai","no",1,1,3,10.9360672628216
"CONC",1977,2550,314.85,"2","None","None","None","no",1,3,2,314.852262900412
"CONC",2012,2300,48.03,"1","1","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,1,48.0327479788251
"CONC",2012,2300,43.8,"1","1","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,1,43.8039592016824
"BRICK",1911,2100,36.5,"3","3","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,4,36.5002233784088
"BRICK",1911,2100,1099.38,"3","3","2010","te puna wai","no",1,1,4,1099.38339994344
"CONC",1964,1800,3439.97,"3","3","2008","te puna wai","no",5,3,2,3439.97263749878
"CONC",2006,550,237.58,"1","None","None","None","no",1,3,1,237.583264925374
"CLS",1989,675,13.78,"2","None","None","None","no",1,1,2,13.784617186937
"CONC",2006,390,169,"2","None","None","None","no",5,1,1,169.002326737009
"CONC",1963,724,92.52,"3","3","2016","te puna wai","no",1,1,3,92.5187159483888
"CONC",1992,600,57.37,"2","2","2018","te puna wai","no",1,3,1,57.3710929246355
"CONC",2010,1800,14.93,"1","None","None","None","no",1,1,1,14.9336876805124
"CONC",1964,2100,425.45,"3","3","2010","te puna wai","no",1,1,2,425.452867233994
"CONC",1964,1350,137.64,"4","4","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,137.635142849627
"CONC",1964,1350,120.13,"4","4","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,120.131017623006
"CONC",1964,1350,44.88,"3","3","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,44.8812963861083
"BRICK",1927,1500,275.53,"3","3","2012","te puna wai","no",1,1,3,275.528713921937
